ID,Name,Description
86,a platform,on a wooden platform around a tree trunk high above the lake
87,a platform,on a wooden platform around a tree trunk high above the lake
88,the top of some stone steps,at the entrance to a stone building that is decorated with carvings of flowers plants and trees
89,the entrance hall,inside a stone building with a low ceiling that is carved with vines and flowers. Through a grate in the floor you notice a small room below with a lever on the wall
90,the edge of the pool,standing on the edge of the sacred pool of the Forest Temple
91,the bottom of the pool,at the bottom of the sacred pool.
92,a low tunnel,crawling along a low tunnel that is dripping with cold water
93,a small chamber,in a small chamber carefully hewn out of the rock.  The walls are made of a green stone carved with depictions of forest life
94,the lever room,the lever room
500,a pit,at the bottom of a pit whose floor is covered in sharp wooden spikes
200,the edge of the moor,on the edge of a bleak moor land. The landscape is barren and visibility is poor as a cold damp mist hangs in patches close to the soggy ground
201,the moor,crossing a bleak moor. The ground is boggy underfoot and small thorny bushes occasionally interrupt an otherwise barren landscape
202,a rocky outcrop,climbing on a rocky outcrop in the middle of a moor. The rocks are covered with green and brown lichens and the odd patch of ice and snow
203,a stone pinnacle,standing on top of a stone pinnacle that rises above the bleak moor land. Fresh snow fills the crevices between the weathered rocks
204,a rocky slope,climbing a steep slope with rock promontories and fields of scree
205,a stoney beach,standing on a stone beach on the edge of a grey lake. Steep cliffs surround the lake on all sides
206,the shore of a lake,following the shoreline of the grey lake
207,the shore of a lake,on the far shore of a large lake. Steep rocky cliffs rise on all sides
208,a wooden pier,standing on a rickety wooden pier that extends from the shore out over the dark waters of the lake
209,a small stone gatehouse,in a small stone gatehouse wedged in a narrow gap between the cliffs
210,the edge of a village,standing on the edge of a small remote village of stone huts hidden amongst a range of mountains
211,a small hut,inside one of the small village huts
212,a small hut,inside one of the small village huts
213,a small hut,inside one of the small village huts
214,a cobbled square,standing in the main square of the mountain village. Uneven stone slabs pave the ground
215,a smithy,at the village smithy. The blacksmiths brazier glows red hot
216,some stone steps,at the bottom of some stone steps that lead up to the village long hall
217,the entrance to the long hall,outside the entrance to the village long hall. The stone building is backed against a steep mountain and overlooks the small village
218,the north of the hall,standing in the village long hall. Gnarled wooden beams support the roof and the floor is made of black flag stones covered in straw
219,the great seat,below the great seat of the ruler of the stone village
220,a well,by the side of the village well. Patches of snow cover the ground
221,a workshop,inside the carpenter's workshop. The small room is full of roughly sawn wood and metal tools
222,the centre of the village,standing in the centre of a small village of stone huts
230,the middle of the moor,in the centre of a bleak moor. The skies are grey and a mist hangs in the air
231,a hollow,in a small hollow. The ground is saturated and there are areas of exposed peat bog
232,a very boggy area,in a very boggy area
233,some exposed rocks,standing amongst some exposed rocks that have been cracked by the weather. You notice a red seam of ore running through the rocks
234,some raised ground,on a small hill that rises above the bleak moor land. A solitary tree stands at the top of the hill
235,some rough ground,on some rough ground littered with broken rocks and scree
236,the entrance to a mine,by the entrance to a mine shaft that has been dug into the earth many years ago
237,an old mine shaft,at the bottom of a mine shaft inside an old mine
238,a tool store,in what was once the tool store for the workers in the mine. Dirty wooden shelves are littered with rusted tools that look like they have not been used for many years
239,a low tunnel,following a low tunnel that slopes down deeper underground
240,a rock seam,at one of the rock seams where mining once took place. The rock here has a green colour
241,a low alcove,crouching in low alcove by a yellow coloured seam of rock
242,a narrow tunnel,following a narrow tunnel that slopes steeply down into the earth
243,a square room,in a square room that has been perfectly cut out of the solid rock. The floor of the room is decorated with a mosaic depicting a trident; a diamond and a fish
244,a round room,in a circular room whose curved sides have been expertly cut from the solid rock
245,a small chamber,in a small chamber
246,a work shop,in a tiny workshop. There is a workbench which has an array of small tools neatly arranged
247,a secret chamber,in a secret chamber
248,a large room,standing in a large room that is decorated in gold. To the north is a great door. On the left hand side of the great door is a large stone statue
249,a small shrine,in a small shrine dedicated to the stone and rock gods of the mountain
250,a grand chamber,in a grand chamber whose walls are carved and decorated with figures of cave dwelling creatures
251,a cold room,in a freezing cold room whose walls are coated in ice. An icy draft blows from the south
252,an icy room,in a small icy room. Freezing cold air whistles through cracks in the walls
253,a cavern,in a large underground cavern. Many stalactites hang from the ceiling dripping with cold water. The floor abruptly ends in a dark chasm which appears to be bottomless
254,a narrow ledge,standing on a narrow ledge overlooking a dark chasm
255,a collapsed tunnel,by a tunnel where the roof has collapsed blocking any further passage
256,a small cell,in a small cell carved deep in the rock. There is a rudimentary bed chiseled out of the stone but not much else
257,a narrow tunnel,a narrow tunnel that slopes steeply down deeper underground. Strange sounds echo off the walls
258,the Mountain Temple altar room,in a large square room in the heart of the earth.  There is a sacred altar at the back of the room decorated wih a mountain scene
300,the edge of the desert,standing on the edge of a vast desert
301,the dunes,wandering amongst featureless sand dunes
302,a wadi,in a dry wadi
303,a wadi,in a dry wadi
304,a rocky outcrop,climbing a rocky outcrop at the end of a wadi
305,some rocky ground,climbing across rocky ground
306,a cave,in a dry cave
307,some flat sand,standing on some flat sand at the foot of a high cliff
308,a shrine,standing in front of a shrine to the desert gods.  The small shrine is littered with offerings and sacrifices
309,a secret chamber,in a secret chamber hidden beneath the desert shrine
310,some palm trees,walking through some palm trees
311,the oasis,standing by an oasis where water springs in the dry desert
312,a tent,in a canvas tent
313,the camp,standing in the middle of a desert camp
314,a tent,in a canvas tent
315,a tent,in a canvas tent
316,the great tent,standing inside a large tent.  Splendid woven rugs and silk cushions cover the floor.  The air is full of the scent of incense and spices
317,the dais,at the foot of a dais
318,the dunes,in a dry desert surrounded by sand dunes
319,the dunes,trudging across a dry and featureless desert
320,some ruins,standing in front of a ruined gateway that was once the entrance to some ancient construction
321,the central plaza,standing in the middle of what was once the central plaza.  An obelisk rises from the central point
322,the sphinx,on the east side of the plaza at the foot of a giant statue of a sphinx
323,a pyramid,at the foot of a large pyramid made of huge white stone blocks
324,a camp,in the remains of a small camp probably left by tomb robbers
325,a low tunnel,in a low tunnel that heads down
326,a tomb entrance,at the entrance to an underground tomb
327,a square room,in a large square room with a floor of polished marble
328,a small alcove,in a small alcove
329,the fresco room,in a small room.  One wall is covered in a detailed painting
330,the royal tomb,in the royal tomb of a king who ruled this land centuries ago
331,a low tunnel,in a low tunnel leading downwards
332,a small chamber,in a small chamber beneath the great pyramid
333,the burial room,in a smooth sided room cut out of rock in the middle of the pyramid
334,the desert temple entrance,inside the entrance to the desert temple
335,the hawk room,in the hawk room
336,a round room,in a round room
337,ground floor elevator,ground floor elevator
338,the 1st floor up elevator,on the elevator stopped at the 1st floor
339,the 1st floor elevator room,in the 1st floor elevator room
340,the 2nd floor up elevator,on the elevator stopped at the 2nd floor
341,the 2nd floor elevator room,in the 2nd floor elevator room
342,the 3rd floor elevator,on the elevator stopped at the 3rd floor
343,the 3rd floor elevator room,in the 3rd floor elevator room
344,the 1st floor down elevator,on the elevator stopped at the 1st floor
345,the 2nd floor down elevator,on the elevator stopped at the 2nd floor
346,the 3rd floor down elevator,on the elevator stopped at the 3rd floor
347,a square room,in a square room
348,the jackal room,in the jackal room
349,the crocodile room,in the crocodile room
350,the snake room,in the snake room
351,the hippo room,in the hippo room
352,the eagle room,in the eagle room
353,the priest room,in the priest room
354,the priest hole,in the priest hole
355,a golden room,in a golden room
356,a low tunnel,in a low tunnel
